RegionName,City,Metro,CountyName,GrowthRate2016,GrowthRate2017,GrowthRate2018,GrowthRate2019,GrowthRate2020,GrowthRate2021,GrowthRate2022
80026,Lafayette,"Boulder, CO",Boulder County,#DIV/0!,#DIV/0!,#DIV/0!,11.42058239,3.704671448,7.294195196,11.36714395
80027,Louisville,"Boulder, CO",Boulder County,#DIV/0!,#DIV/0!,#DIV/0!,4.193668072,1.474999764,9.525365987,10.94580331
80302,Boulder,"Boulder, CO",Boulder County,549.3153971,9.716230154,6.848496852,4.430227302,4.213783369,7.45887866,9.557419103
80303,Boulder,"Boulder, CO",Boulder County,#DIV/0!,#DIV/0!,312.947096,4.935776229,2.827878083,5.521215606,8.371774506
80301,Boulder,"Boulder, CO",Boulder County,#DIV/0!,#DIV/0!,#DIV/0!,13.7879229,1.351893889,7.270090003,0.151071344
80304,Boulder,"Boulder, CO",Boulder County,#DIV/0!,#DIV/0!,6.22725869,2.767267582,2.75552785,8.821191799,8.782763872
80305,Boulder,"Boulder, CO",Boulder County,#DIV/0!,#DIV/0!,#DIV/0!,4.917820153,2.007748666,6.617683434,9.490053802
75501,Texarkana,"Texarkana, TX-AR",Bowie County,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!
75503,Texarkana,"Texarkana, TX-AR",Bowie County,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!
37312,Cleveland,"Cleveland, TN",Bradley County,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!
37311,Cleveland,"Cleveland, TN",Bradley County,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!
37323,Cleveland,"Cleveland, TN",Bradley County,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!
77584,Pearland,"Houston-The Woodlands-Sugar Land, TX",Brazoria County,0.418129956,0.242675266,2.509476971,1.504082471,1.462943513,8.826184847,8.940572793
77581,Pearland,"Houston-The Woodlands-Sugar Land, TX",Brazoria County,#DIV/0!,#DIV/0!,#DIV/0!,23.77721507,13.75798214,4.506853505,7.133981069
77511,Alvin,"Houston-The Woodlands-Sugar Land, TX",Brazoria County,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!
77583,Iowa Colony,"Houston-The Woodlands-Sugar Land, TX",Brazoria County,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!
77515,Angleton,"Houston-The Woodlands-Sugar Land, TX",Brazoria County,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!
77566,Lake Jackson,"Houston-The Woodlands-Sugar Land, TX",Brazoria County,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!
77578,Manvel,"Houston-The Woodlands-Sugar Land, TX",Brazoria County,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!
77541,Freeport,"Houston-The Woodlands-Sugar Land, TX",Brazoria County,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!
77531,Clute,"Houston-The Woodlands-Sugar Land, TX",Brazoria County,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,115.0294548
77845,College Station,"College Station-Bryan, TX",Brazos County,11.94031928,1.880950284,-0.29147182,3.874681128,2.284939284,5.757719883,9.844493632
