CountyName,GrowthRate,WHITE,BLACK_OR_AFRICAN_AMERICAN,AMERICAN_INDIAN_AND_ALASKA_NATIVE,ASIAN,NATIVE_HAWAIIAN_AND_OTHER_PACIFIC_ISLANDER,HISPANIC_OR_LATINO
Alameda County,7.783077362,-5.882352941,0,0,0.540540541,-20,-0.985221675
Alameda County,7.998440524,-10.18518519,-11.62790698,40,1.785714286,47.61904762,1.360544218
Alameda County,8.34708368,-6.02006689,15.38461538,-20,3.067484663,0,-11.51515152
Alameda County,8.418049142,-1.886792453,0.884955752,-25,-4.8,0,-8.695652174
Alameda County,8.581356617,-2.544031311,-2.604166667,-16.66666667,3.937007874,0,-13.17829457
Alameda County,8.986755975,0,-5.128205128,0,-5.46875,-50,-8.695652174
Alameda County,9.167879715,1.428571429,14.70588235,14.28571429,-2.504472272,14.28571429,1.086956522
Alameda County,9.458695369,-8.292682927,16.85393258,18.18181818,-1.25,0,0.754716981
Alameda County,10.15327294,-8.125,-44.82758621,-33.33333333,2.486187845,-57.14285714,-7.936507937
Alameda County,10.9050885,4.060913706,-2,25,-2.197802198,6.25,-1.941747573
Alameda County,12.21644744,-9.124767225,-2.816901408,0,11.2,0,6.432748538
Alameda County,18.53330767,-7.589285714,-14.28571429,-12,8.43373494,0,-1.348747592
Alameda County,21.16560955,0.581395349,-14.28571429,0,0.938337802,0,5
Alameda County,21.48705212,-0.27100271,-13.97379913,375,-4.324324324,-33.33333333,19.42857143
Alameda County,23.31296052,2.105263158,-5.434782609,-26.66666667,0.555555556,0,-0.980392157
Alameda County,25.09327188,-3.067484663,0,50,4.912280702,-100,-9.923664122
Alameda County,28.11131489,-12.59541985,0,-40,0.701754386,0,1.510574018
Alameda County,35.77083255,0.451467269,-4.858299595,16.66666667,2.564102564,0,-0.787401575
Alameda County,37.90418479,2.201834862,-4.972375691,-25,-1.342281879,-100,5.660377358
Alameda County,50.17762225,-1.528384279,-0.649350649,-27.27272727,0,14.28571429,-7.262569832
